,bq.record.name,bq.name,isArray,bq.array,tidy.name,type,
1,trafficSource.referralPath,trafficSource.referralPath,FALSE,NA,Traffic Source Referral Path,STRING,
2,trafficSource.campaign,trafficSource.campaign,FALSE,NA,Traffic Source Campaign,STRING,
3,trafficSource.source,trafficSource.source,FALSE,NA,Traffic Source Source,STRING,
4,trafficSource.medium,trafficSource.medium,FALSE,NA,Traffic Source Medium,STRING,
5,trafficSource.keyword,trafficSource.keyword,FALSE,NA,Traffic Source Keyword,STRING,
6,trafficSource.adContent,trafficSource.adContent,FALSE,NA,Traffic Source Ad Content,STRING,
7,trafficSource.adwordsClickInfo.slot,trafficSource.adwordsClickInfo.slot,FALSE,NA,Traffic Source Adwords Click Info Slot,STRING,
8,trafficSource.adwordsClickInfo.criteriaParameters,trafficSource.adwordsClickInfo.criteriaParameters,FALSE,NA,Traffic Source Adwords Click Info Criteria Parameters,STRING,
9,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.gclId,FALSE,NA,Traffic Source Adwords Click Info Gcl Id,STRING,
10,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.adNetworkType,FALSE,NA,Traffic Source Adwords Click Info Ad Network Type,STRING,
11,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adwordsClickInfo.isVideoAd,FALSE,NA,Traffic Source Adwords Click Info Is Video Ad,BOOLEAN,
12,trafficSource.isTrueDirect,trafficSource.isTrueDirect,FALSE,NA,Traffic Source Is True Direct,BOOLEAN,
13,trafficSource.campaignCode,trafficSource.campaignCode,FALSE,NA,Traffic Source Campaign Code,STRING,
14,device.browser,device.browser,FALSE,NA,Device Browser,STRING,
15,device.browserVersion,device.browserVersion,FALSE,NA,Device Browser Version,STRING,
16,device.browserSize,device.browserSize,FALSE,NA,Device Browser Size,STRING,
17,device.operatingSystem,device.operatingSystem,FALSE,NA,Device Operating System,STRING,
18,device.operatingSystemVersion,device.operatingSystemVersion,FALSE,NA,Device Operating System Version,STRING,
19,device.isMobile,device.isMobile,FALSE,NA,Device Is Mobile,BOOLEAN,
20,device.mobileDeviceBranding,device.mobileDeviceBranding,FALSE,NA,Device Mobile Device Branding,STRING,
21,device.mobileDeviceModel,device.mobileDeviceModel,FALSE,NA,Device Mobile Device Model,STRING,
22,device.mobileInputSelector,device.mobileInputSelector,FALSE,NA,Device Mobile Input Selector,STRING,
23,device.mobileDeviceInfo,device.mobileDeviceInfo,FALSE,NA,Device Mobile Device Info,STRING,
24,device.mobileDeviceMarketingName,device.mobileDeviceMarketingName,FALSE,NA,Device Mobile Device Marketing Name,STRING,
25,device.flashVersion,device.flashVersion,FALSE,NA,Device Flash Version,STRING,
26,device.javaEnabled,device.javaEnabled,FALSE,NA,Device Java Enabled,BOOLEAN,
27,device.language,device.language,FALSE,NA,Device Language,STRING,
28,device.screenColors,device.screenColors,FALSE,NA,Device Screen Colors,STRING,
29,device.screenResolution,device.screenResolution,FALSE,NA,Device Screen Resolution,STRING,
30,device.deviceCategory,device.deviceCategory,FALSE,NA,Device Device Category,STRING,
